date,B07H9KV1GG,B07H9KV2YN,B07H9KZQ9G,B07H9PZ6MH,B07H9PZ81G,B07H9PZGSP,B07H9PZMVV,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-04,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-05,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-06,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-07,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-08,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-09,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-10,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-11,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-12,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-13,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-14,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-15,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-16,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-17,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-18,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-19,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-20,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-21,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-22,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-23,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-24,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-25,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-26,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-27,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-28,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-29,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-30,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-01-31,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-02-01,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-02-02,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-02-03,1.0,1.0,1.0,0.9994114184814598,1.0,1.0,1.0,0.9999159169259227
2020-02-04,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-05,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-06,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-07,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-08,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-09,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-10,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-11,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-12,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-13,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-14,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-15,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-16,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-17,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-18,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-19,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-20,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-21,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-22,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-23,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-24,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-25,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-26,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-27,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-28,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-29,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-01,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-02,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-03,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-04,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-05,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-06,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-07,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-08,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-09,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-10,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-11,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-12,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-13,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-14,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-15,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-16,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-17,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-18,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-19,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-20,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-21,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-22,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-23,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-24,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-03-25,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-03-26,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-27,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-28,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-29,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-30,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-03-31,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-01,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-02,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-03,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-04,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-05,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-06,1.0,0.9994114184814598,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9996636677036912
2020-04-07,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-08,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-09,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-10,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-11,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,0.9994114184814598,1.0,0.9997477507777683
2020-04-12,1.0,1.0,1.0,1.0,0.9994114184814598,0.9994114184814598,1.0,0.9998318338518456
2020-04-13,1.0,1.0,1.0,1.0,1.0,0.9994114184814598,1.0,0.9999159169259227
2020-04-14,1.0,0.9994114184814598,1.0,1.0,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-04-15,1.296197464976651,0.9994114184814598,1.2018012008005337,0.9994114184814598,1.0,0.9994114184814598,1.0869468534578608,1.083311396382775
2020-04-16,1.296197464976651,0.9994114184814598,1.191794529686458,0.9998038061604865,1.0,0.9994114184814598,1.1077384923282187,1.084908161444962
2020-04-17,1.296197464976651,0.9994114184814598,1.191794529686458,1.0,1.0,0.9994114184814598,1.1094062708472314,1.0851744432104657
2020-04-18,1.296197464976651,1.0,1.3122081387591729,1.0,1.0,1.0,1.3829219479653103,1.1416182216715907
2020-04-19,1.3015343562374917,1.0,1.3122081387591729,1.0,1.0,1.0,1.3829219479653103,1.1423806347088534
2020-04-20,1.3015343562374917,1.0,1.448965977318212,1.0,1.0,1.0,1.3829219479653103,1.1619174687887164
2020-04-21,1.3015343562374917,1.0,1.448965977318212,1.0,1.0,1.0,1.4116077384923282,1.1660154388640045
2020-04-22,1.2861907938625752,1.0,1.3465643762508337,1.0,1.0,1.0,1.4116077384923282,1.149194701229391
2020-04-23,1.2861907938625752,1.0,1.296197464976651,1.0,1.0,1.0,1.2828552368245496,1.1236062136662537
2020-04-24,1.2861907938625752,1.0,1.296197464976651,1.0,1.0,1.0,1.2828552368245496,1.1236062136662537
2020-04-25,1.2861907938625752,1.0,1.296197464976651,1.0,1.0,1.0,1.2828552368245496,1.1236062136662537
2020-04-26,1.4029352901934624,1.0,1.3002001334222815,1.0,1.0,1.0,1.2815210140093396,1.140665205375012
2020-04-27,1.4029352901934624,1.0,1.3002001334222815,1.0,1.0,1.0,1.3058705803869246,1.144143714857524
2020-04-28,1.3348899266177452,1.0,1.202134756504336,1.0,1.0,1.0,1.3058705803869246,1.1204136090727153
2020-04-29,1.1781187458305538,1.0,1.2391594396264176,1.0,1.0,1.0,1.3308872581721147,1.1068807776612979
2020-04-30,1.1501000667111407,1.0,1.2841894596397598,1.0,1.0,1.0,1.1347565043362242,1.0812922900981605
2020-05-01,1.2708472314876584,1.0,1.2841894596397598,1.0,1.0,1.0,1.1894596397598398,1.1063566186981797
2020-05-02,1.2708472314876584,1.0,1.2821881254169445,1.0,1.0,1.0,1.1894596397598398,1.106070713809206
2020-05-03,1.6944629753168778,1.0,1.1561040693795863,1.0,1.0,1.0,1.154769846564376,1.1436195558944058
2020-05-04,1.324216144096064,1.0,1.1480987324883256,1.0,1.0,1.0,1.154769846564376,1.089583531878395
2020-05-05,1.324216144096064,1.0,1.1474316210807205,1.0,1.0,1.0,1.0883922615076718,1.0800057180977796
2020-05-06,1.324216144096064,1.0,1.1020680453635756,1.0,1.0,1.0,1.0883922615076718,1.0735252072810444
2020-05-07,1.2028018679119414,1.0,1.1307538358905942,1.0,1.0,1.0,1.1661107404936624,1.0713809206137426
2020-05-08,1.200800533689126,1.0,1.1647765176784524,1.0,1.0,1.0,1.1687791861240826,1.0763366053559515
2020-05-09,1.3202134756504336,1.0,1.253057593951523,1.0,1.0,1.0,1.302868579052702,1.1251628069506654
2020-05-10,1.180787191460974,1.0,1.1854569713142094,1.0,1.0,1.0,1.246831220813876,1.08758219765558
2020-05-11,1.181454302868579,1.0,1.181454302868579,1.0,1.0,1.0,1.2454969979986659,1.0869150862479748
