date,B001PCVAJM,B001PD0Q5U,B002Y46R0M,B008O9L8KK,B0856883TQ,B085B3SDSR,B085GK6NVY,B085WNYY71,B085WPFMBJ,B085WPL53C,average
2020-01-01,1.0,1.0,1.0,1.0,,,,,,,1.0
2020-01-02,1.0,1.0,1.0,1.0,,,,,,,1.0
2020-01-03,1.0,1.0,1.0,1.0,,,,,,,1.0
2020-01-04,1.0,1.0,1.0,1.0,,,,,,,1.0
2020-01-05,1.0,1.0,1.0,1.0,,,,,,,1.0
2020-01-06,1.0,1.0,1.0,1.0,,,,,,,1.0
2020-01-07,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-08,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-09,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-10,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-11,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-12,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-13,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-14,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-15,1.0,1.0,1.0,1.3286052009456264,,,,,,,1.0821513002364065
2020-01-16,1.0,0.6584992343032159,1.0,1.3286052009456264,,,,,,,0.9967761088122106
2020-01-17,1.021710811984368,0.6845329249617151,1.0,1.3286052009456264,,,,,,,1.0087122344729273
2020-01-18,1.010855405992184,0.6845329249617151,1.0,1.3286052009456264,,,,,,,1.0059983829748815
2020-01-19,1.0,0.6845329249617151,1.0,1.3286052009456264,,,,,,,1.0032845314768353
2020-01-20,1.0434216239687362,0.6845329249617151,1.0,1.3286052009456264,,,,,,,1.0141399374690194
2020-01-21,1.0043421623968734,0.6845329249617151,1.0,1.3286052009456264,,,,,,,1.0043700720760538
2020-01-22,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-23,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-24,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-25,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-26,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-27,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-28,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-29,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-30,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-01-31,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-01,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-02,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-03,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-04,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-05,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-06,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-07,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-08,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-09,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-10,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-11,1.0043421623968734,1.0,1.0,1.3286052009456264,,,,,,,1.083236840835625
2020-02-12,0.9774207555362568,1.0,1.0,1.3286052009456264,,,,,,,1.076506489120471
2020-02-13,0.984802431610942,1.0,1.0,1.3286052009456264,,,,,,,1.0783519081391422
2020-02-14,1.4777247069040382,1.0,1.0,1.1386202450032237,,,,,,,1.1540862379768155
2020-02-15,1.7234042553191489,1.0,1.0,1.0900494304749624,,,,,,,1.2033634214485278
2020-02-16,1.4680851063829785,1.0,1.0,1.0900494304749624,,,,,,,1.139533634214485
2020-02-17,1.4680851063829785,1.0,1.0,1.0500752202879862,,,,,,,1.129540081667741
2020-02-18,0.828484585323491,1.0,1.0,1.0500752202879862,,,,,,,0.9696399514028693
2020-02-19,0.828484585323491,1.0,1.0,0.8502041693531055,,,,,,,0.9196721886691491
2020-02-20,0.9580981328701693,1.0,1.0,0.8618095852138405,,,,,,,0.9549769295210024
2020-02-21,1.3638732088580112,1.0,1.0,0.8176803495952429,,,,,,,1.0453883896133136
2020-02-22,0.9092488059053409,1.0,1.0,0.8176803495952429,,,,,,,0.931732288875146
2020-02-23,1.1300477637863655,1.0,1.0,0.8176803495952429,,,,,,,0.9869320283454022
2020-02-24,1.35084672166739,0.5918836140888208,1.0,0.8723404255319149,,,,,,,0.9537676903220315
2020-02-25,1.35084672166739,0.6998468606431854,1.0,0.8723404255319149,,,,,,,0.9807585019606226
2020-02-26,1.35084672166739,0.6998468606431854,1.0,0.8012035246077799,,,,,,,0.9629742767295889
2020-02-27,1.35084672166739,0.6998468606431854,1.0,0.8012035246077799,,,,,,,0.9629742767295889
2020-02-28,1.35084672166739,0.7863705972434916,1.0,0.8012035246077799,,,,,,,0.9846052108796653
2020-02-29,1.35084672166739,0.7863705972434916,1.0,0.8012035246077799,,,,,,,0.9846052108796653
2020-03-01,1.35084672166739,0.7863705972434916,0.7990249187432286,0.8012035246077799,,,,,,,0.9343614405654724
2020-03-02,1.35084672166739,0.7863705972434916,0.7990249187432286,0.8012035246077799,,,,,,,0.9343614405654724
2020-03-03,1.35084672166739,0.7863705972434916,0.8076923076923077,0.8012035246077799,,,,,,,0.9365282878027422
2020-03-04,1.35084672166739,0.7863705972434916,0.7166847237269772,0.8012035246077799,,,,,,,0.9137763918114097
2020-03-05,1.1580547112462005,0.392802450229709,0.7166847237269772,0.8012035246077799,,,,,,,0.7671863524526666
2020-03-06,1.1580547112462005,0.392802450229709,0.7166847237269772,0.8012035246077799,1.0,,,,,,0.8137490819621334
2020-03-07,1.5625271385149802,0.392802450229709,0.7166847237269772,0.8012035246077799,1.0,,,,,,0.8946435674158891
2020-03-08,1.5625271385149802,0.392802450229709,0.7166847237269772,0.8012035246077799,1.0,,,,,,0.8946435674158891
2020-03-09,1.5625271385149802,0.392802450229709,0.7107258938244853,0.8012035246077799,1.0,,,,,,0.8934518014353909
2020-03-10,1.5625271385149802,0.392802450229709,0.7107258938244853,0.8012035246077799,1.0,,,,,,0.8934518014353909
2020-03-11,1.5625271385149802,0.392802450229709,0.7107258938244853,0.8012035246077799,1.0,,,,,,0.8934518014353909
2020-03-12,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,,,,1.014891311389449
2020-03-13,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,,,,1.014891311389449
2020-03-14,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,,,,1.014891311389449
2020-03-15,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,1.0,,,1.0124094261578742
2020-03-16,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,,1.0,,,1.0124094261578742
2020-03-17,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-18,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-19,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-20,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-21,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-22,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-23,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-24,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,,1.0,1.0,,1.0,1.0093070696184057
2020-03-25,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,,1.0526592943654556,1.0141239834791889
2020-03-26,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-27,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-28,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-29,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-30,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-03-31,1.5625271385149802,1.0,0.7107258938244853,0.8012035246077799,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,1.01271158513127
2020-04-01,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8816526606739965
2020-04-02,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8816526606739965
2020-04-03,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8816526606739965
2020-04-04,1.5625271385149802,0.21669218989280245,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8814995213171818
2020-04-05,1.5625271385149802,0.21669218989280245,0.44582881906825567,0.5372877713303245,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8814995213171818
2020-04-06,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6047711154094133,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8884009950819054
2020-04-07,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6047711154094133,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8884009950819054
2020-04-08,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-09,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-10,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-11,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-12,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-13,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-14,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-15,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-16,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-17,1.5625271385149802,0.21822358346094947,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8911089254494102
2020-04-18,0.48067737733391225,0.2725880551301684,0.44582881906825567,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.7883603964982254
2020-04-19,0.6669561441597915,0.2725880551301684,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8343988907322759
2020-04-20,0.6669561441597915,0.40811638591117916,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8479517238103769
2020-04-21,0.6669561441597915,0.40811638591117916,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8479517238103769
2020-04-22,0.6669561441597915,0.40811638591117916,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8479517238103769
2020-04-23,0.6669561441597915,0.41003062787136296,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8481431480063953
2020-04-24,0.6669561441597915,0.41194486983154666,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8483345722024136
2020-04-25,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-26,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-27,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-28,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-29,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-30,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-05-01,0.7112462006079027,0.41194486983154666,0.8640303358613217,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.9126921319621738
2020-05-02,0.7112462006079027,0.41194486983154666,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9180870104638388
2020-05-03,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-04,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-05,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-06,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-07,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-08,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
2020-05-09,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
2020-05-10,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
2020-05-11,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
