date,B005IRYMCW,B00GMOSUX2,B00UM41HGK,B00WW8YO6E,B00WW8YZKO,B00WW8Z026,B01LOSGSUM,B01MYYVGU7,B01N9GPLFS,B074DYLY5V,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-04,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-05,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-06,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-07,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-08,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-09,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-10,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-11,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-12,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-13,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-14,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-15,1.0,1.0,0.7775305895439377,1.0,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9738954921888151
2020-01-16,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-17,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-18,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-19,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-20,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-21,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-22,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-23,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-24,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-25,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-26,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-27,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-28,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-29,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0,1.0,1.0,1.0,0.953613603360932
2020-01-30,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0,1.0,1.0,1.0,0.953613603360932
2020-01-31,1.0,0.9974979149291077,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0,1.0,1.0,1.0,0.953363394853843
2020-02-01,1.0,0.9599666388657214,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9801357555271558
2020-02-02,1.0,0.9599666388657214,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9801357555271558
2020-02-03,1.0,0.9599666388657214,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9801357555271558
2020-02-04,1.0,1.0,0.7775305895439377,0.6666666666666666,1.0931750741839763,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9953853824417707
2020-02-05,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9822103082577943
2020-02-06,1.0,1.0,0.7775305895439377,0.6666666666666666,1.1863501483679524,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,1.0047028898601682
2020-02-07,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9822103082577943
2020-02-08,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9822103082577943
2020-02-09,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9419283134203945,1.2726239199636198,1.0,0.9764031395998337
2020-02-10,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9419283134203945,1.2726239199636198,1.0,0.9764031395998337
2020-02-11,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9419283134203945,1.2726239199636198,1.0,0.9764031395998337
2020-02-12,1.0,1.0,0.7775305895439377,0.6666666666666666,1.0,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9888464246204831
2020-02-13,1.0,0.9574645537948291,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9807353132343876
2020-02-14,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9887240356083086,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9797121559544584
2020-02-15,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9769821856280488
2020-02-16,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9769821856280488
2020-02-17,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2726239199636198,1.0,0.9769821856280488
2020-02-18,1.0,0.9199332777314428,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9770049232360526
2020-02-19,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9850115954629082
2020-02-20,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9850115954629082
2020-02-21,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9850115954629082
2020-02-22,1.0,1.0,0.7775305895439377,1.1581581581581581,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.0385738072775472
2020-02-23,1.0,1.0,0.7775305895439377,1.1731731731731732,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.0400753087790486
2020-02-24,1.0,1.0,0.7775305895439377,1.1731731731731732,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.0400753087790486
2020-02-25,1.0,1.0,0.7775305895439377,1.1731731731731732,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.0400753087790486
2020-02-26,1.0,1.0,0.7775305895439377,1.1731731731731732,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.0400753087790486
2020-02-27,1.0,1.0,0.7775305895439377,1.1731731731731732,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.0400753087790486
2020-02-28,1.0,1.0,0.7775305895439377,1.1731731731731732,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.0400753087790486
2020-02-29,1.0,1.0,0.7775305895439377,1.167167167167167,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.0350616455129584
2020-03-01,1.0,1.0,0.7775305895439377,1.0,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.0183449287962416
2020-03-02,1.0,1.0,0.7775305895439377,1.0,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.0183449287962416
2020-03-03,1.0,1.0,0.7775305895439377,1.0,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.0183449287962416
2020-03-04,1.0,1.0,0.7775305895439377,1.0,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.0183449287962416
2020-03-05,1.0,1.0,0.7775305895439377,1.0,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.0183449287962416
2020-03-06,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9543809648322776
2020-03-07,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9543809648322776
2020-03-08,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9543809648322776
2020-03-09,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9543809648322776
2020-03-10,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9543809648322776
2020-03-11,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9543809648322776
2020-03-12,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.0252848013337037,1.2728512960436562,1.0,0.9541308953685377
2020-03-13,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9959711030841903,1.2728512960436562,1.0,0.9511995255435863
2020-03-14,1.0,1.0,0.7775305895439377,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9861072520144485,1.2728512960436562,1.0,0.9502131404366121
2020-03-15,1.0,1.0,1.0,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,0.9766279058778838
2020-03-16,1.0,1.0,1.0,0.36036036036036034,0.9614243323442135,1.1112266112266111,1.0326309628328942,0.9702695193109196,1.2728512960436562,1.0,0.9708763082118654
2020-03-17,1.0,1.0,1.5561735261401557,1.171171171171171,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.1828218885344048
2020-03-18,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.1157385649438512
2020-03-19,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.1157385649438512
2020-03-20,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0,1.1157385649438512
2020-03-21,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2273760800363802,1.0,1.1111910433431236
2020-03-22,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2273760800363802,1.0441306266548984,1.1156041060086133
2020-03-23,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2273760800363802,1.0441306266548984,1.1156041060086133
2020-03-24,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-03-25,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-03-26,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-03-27,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-03-28,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-03-29,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-03-30,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-03-31,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-01,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-02,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-03,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-04,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-05,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-06,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-07,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-08,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-09,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-10,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-11,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-12,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-13,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-14,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-15,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-16,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-17,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-18,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-19,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-20,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-21,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-22,1.0,1.0,1.0945494994438265,0.9619619619619619,1.656379821958457,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1201516276093408
2020-04-23,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-24,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-25,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-26,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-27,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-28,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-29,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-04-30,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-01,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-02,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-03,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-04,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-05,1.0,1.0,1.0945494994438265,0.9619619619619619,1.4973293768545992,1.1112266112266111,1.0326309628328942,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1042465830989552
2020-05-06,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
2020-05-07,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
2020-05-08,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
2020-05-09,0.9770308123249297,0.9858215179316097,1.0945494994438265,1.2032032032032032,1.4973293768545992,1.239085239085239,1.0424348844015217,1.027785495971103,1.2728512960436562,1.0441306266548984,1.1384221951914584
