date,B006I48ZYA,B019YHTNW0,B01MSUUZ9O,B01N1O1TF8,average
2020-01-01,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.005560433128475,1.0,1.0,1.0013901082821188
2020-01-03,1.0,1.005560433128475,1.0,1.0,1.0013901082821188
2020-01-04,1.0,1.005560433128475,1.0,1.0,1.0013901082821188
2020-01-05,0.9902912621359223,1.005560433128475,1.0,1.0,0.9989629238160993
2020-01-06,0.9902912621359223,1.005560433128475,1.0,1.0,0.9989629238160993
2020-01-07,0.9924487594390506,1.005560433128475,1.0,1.0,0.9995022981418814
2020-01-08,0.9924487594390506,1.005560433128475,1.0,1.0,0.9995022981418814
2020-01-09,0.9924487594390506,1.005560433128475,1.0,1.0,0.9995022981418814
2020-01-10,0.9924487594390506,1.005560433128475,1.0,1.0,0.9995022981418814
2020-01-11,0.9924487594390506,1.005560433128475,1.0,1.0,0.9995022981418814
2020-01-12,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-13,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-14,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-15,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-16,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-17,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-18,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-19,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-20,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-21,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-22,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-23,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-24,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-25,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-26,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-27,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-28,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-29,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-30,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-01-31,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-01,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-02,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-03,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-04,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-05,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-06,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-07,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-08,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-09,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-10,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-11,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-12,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-13,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-14,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-15,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-16,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-17,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-18,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-19,0.9924487594390506,1.0155106818846942,1.0,1.0,1.0019898603309363
2020-02-20,0.9924487594390506,1.0049751243781095,1.0,1.0,0.9993559709542901
2020-02-21,0.9924487594390506,1.0049751243781095,1.0,1.0,0.9993559709542901
2020-02-22,0.9924487594390506,1.0049751243781095,1.0,1.0,0.9993559709542901
2020-02-23,0.9924487594390506,1.0049751243781095,1.0,1.0,0.9993559709542901
2020-02-24,0.9924487594390506,1.0049751243781095,1.0,1.0,0.9993559709542901
2020-02-25,0.9924487594390506,1.0049751243781095,1.0,1.0,0.9993559709542901
2020-02-26,1.0,1.0049751243781095,1.0,1.0,1.0012437810945274
2020-02-27,1.0,1.0049751243781095,1.0,1.0,1.0012437810945274
2020-02-28,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-02-29,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-01,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-02,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-03,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-04,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-05,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-06,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-07,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-08,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-09,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-10,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-11,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-03-12,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-13,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-14,1.0,1.025753585016096,0.9748743718592966,1.2172131147540985,1.0544602679073727
2020-03-15,1.0,1.025753585016096,0.9748743718592966,1.2172131147540985,1.0544602679073727
2020-03-16,1.0,1.025753585016096,0.9748743718592966,1.2172131147540985,1.0544602679073727
2020-03-17,1.0,1.025753585016096,0.949748743718593,1.2172131147540985,1.048178860872197
2020-03-18,1.0,1.025753585016096,0.949748743718593,1.2172131147540985,1.048178860872197
2020-03-19,1.0,1.025753585016096,0.949748743718593,1.2172131147540985,1.048178860872197
2020-03-20,1.0,1.025753585016096,0.9748743718592966,2.182377049180328,1.2957512515139302
2020-03-21,1.0,1.025753585016096,0.9748743718592966,2.182377049180328,1.2957512515139302
2020-03-22,1.0,1.025753585016096,0.9748743718592966,2.182377049180328,1.2957512515139302
2020-03-23,1.0,1.025753585016096,0.9748743718592966,2.182377049180328,1.2957512515139302
2020-03-24,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-25,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-26,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-27,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-28,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-29,1.0,1.025753585016096,0.9748743718592966,1.0,1.0001569892188482
2020-03-30,1.0,1.025753585016096,0.9748743718592966,1.8616803278688527,1.2155770711860612
2020-03-31,1.0,1.025753585016096,1.0,1.6424180327868854,1.1670429044507453
2020-04-01,1.0,1.025753585016096,1.0,1.6424180327868854,1.1670429044507453
2020-04-02,1.0,1.025753585016096,1.0,1.6424180327868854,1.1670429044507453
2020-04-03,1.0,1.025753585016096,1.0,1.6424180327868854,1.1670429044507453
2020-04-04,1.0,1.025753585016096,1.0,1.6424180327868854,1.1670429044507453
2020-04-05,1.0,1.025753585016096,1.0,1.6424180327868854,1.1670429044507453
2020-04-06,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-07,1.0,1.025753585016096,1.0,1.2315573770491803,1.064327740516319
2020-04-08,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-09,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-10,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-11,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-12,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-13,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-14,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-15,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-16,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-17,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-18,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-19,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-20,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-21,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-22,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-23,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-24,1.0,1.025753585016096,1.0,1.0,1.006438396254024
2020-04-25,1.0,1.025753585016096,1.0,1.0993852459016393,1.0312847077294338
2020-04-26,1.0,1.025753585016096,1.0,1.0,1.006438396254024
