Date,Disinfectant Wipes,Disinfectant Spray,N95 Mask,Surgical Mask,Hand Sanitizer
1/1/20,1,1,0.5,0.5,0.5
1/2/20,2,1,0.5,0.5,1
1/3/20,1,1,0.5,0.5,1
1/4/20,1,1,0.5,1,0.5
1/5/20,2,2,0.5,0.5,0.5
1/6/20,1,1,0.5,0.5,1
1/7/20,1,1,0.5,1,1
1/8/20,2,1,0.5,1,1
1/9/20,1,1,0.5,1,1
1/10/20,1,1,0.5,1,1
1/11/20,0,1,0.5,0.5,1
1/12/20,1,1,1,1,0.5
1/13/20,1,1,1,1,1
1/14/20,1,1,1,1,1
1/15/20,1,1,1,1,1
1/16/20,1,1,0.5,1,1
1/17/20,0,0.5,0.5,0.5,1
1/18/20,1,0.5,0.5,1,1
1/19/20,2,1,0.5,0.5,0.5
1/20/20,1,1,1,1,0.5
1/21/20,1,1,3,2,1
1/22/20,1,1,4,4,1
1/23/20,1,0.5,4,6,1
1/24/20,1,1,6,9,1
1/25/20,1,1,10,9,1
1/26/20,2,1,14,16,1
1/27/20,1,1,15,18,1
1/28/20,3,2,16,19,2
1/29/20,3,2,13,23,2
1/30/20,4,2,15,21,2
1/31/20,2,3,14,23,2
2/1/20,2,4,14,19,2
2/2/20,2,3,10,17,1
2/3/20,1,2,8,15,1
2/4/20,2,1,8,12,2
2/5/20,2,1,6,12,2
2/6/20,3,1,6,10,1
2/7/20,1,1,6,10,1
2/8/20,2,2,5,9,1
2/9/20,2,1,5,9,1
2/10/20,2,1,5,7,1
2/11/20,2,1,5,8,2
2/12/20,1,2,4,5,1
2/13/20,1,1,5,6,1
2/14/20,1,1,3,7,1
2/15/20,1,1,3,7,1
2/16/20,2,2,3,5,1
2/17/20,2,0.5,3,5,1
2/18/20,2,1,2,6,1
2/19/20,2,1,3,4,1
2/20/20,1,1,2,3,1
2/21/20,2,1,3,4,1
2/22/20,2,2,5,7,1
2/23/20,2,2,6,7,1
2/24/20,1,2,10,7,1
2/25/20,1,2,25,19,2
2/26/20,2,3,72,42,3
2/27/20,7,5,73,37,5
2/28/20,6,4,59,28,7
2/29/20,7,5,47,21,11
3/1/20,9,5,28,13,13
3/2/20,11,6,28,15,22
3/3/20,16,8,21,15,33
3/4/20,22,9,16,10,38
3/5/20,29,12,15,11,47
3/6/20,36,13,15,12,51
3/7/20,35,13,15,12,53
3/8/20,28,11,12,7,49
3/9/20,31,11,12,9,53
3/10/20,41,16,16,11,62
3/11/20,50,19,18,12,69
3/12/20,84,40,26,18,100
3/13/20,93,44,25,17,93
3/14/20,79,39,21,17,85
3/15/20,69,38,22,16,71
3/16/20,60,38,24,18,61
3/17/20,51,35,25,20,52
3/18/20,55,35,26,22,46
3/19/20,57,43,35,28,45
3/20/20,63,40,44,40,40
3/21/20,77,46,63,50,45
3/22/20,75,49,60,50,42
3/23/20,60,46,54,42,36
3/24/20,55,40,47,37,31
3/25/20,57,39,42,30,28
3/26/20,68,44,42,28,27
3/27/20,67,49,45,30,27
3/28/20,90,66,50,36,29
3/29/20,81,53,51,35,31
3/30/20,76,55,51,34,30
3/31/20,85,60,59,51,32
4/1/20,89,74,62,55,34
4/2/20,87,80,71,67,33
4/3/20,88,87,98,90,33
4/4/20,100,100,100,100,36
4/5/20,91,88,76,71,32
4/6/20,71,68,58,59,28
4/7/20,72,72,50,50,27
4/8/20,60,67,42,49,25
4/9/20,65,59,39,42,24
4/10/20,65,55,37,36,22
4/11/20,57,44,34,32,22
4/12/20,49,37,26,23,16
4/13/20,54,39,26,24,18
4/14/20,58,45,26,28,19
4/15/20,52,45,26,29,20
4/16/20,59,41,30,32,21
4/17/20,59,41,28,32,19
4/18/20,66,50,29,31,19
4/19/20,58,44,23,28,18
4/20/20,46,37,21,24,16
4/21/20,55,35,23,26,17
4/22/20,48,37,23,24,17
4/23/20,52,40,23,25,18
4/24/20,66,46,22,25,17
4/25/20,62,40,23,22,16
4/26/20,62,36,17,20,15
4/27/20,52,32,18,21,15
4/28/20,51,30,19,19,16
4/29/20,47,31,19,21,15
4/30/20,53,29,17,21,15
5/1/20,48,25,18,21,14
5/2/20,50,25,15,21,15
5/3/20,55,29,15,18,14
5/4/20,49,25,15,19,13