date,B005HG9ERW,B07P619NNK,B07V43XKBD,average
2020-01-01,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0
2020-01-03,1.0,1.0,1.0,1.0
2020-01-04,1.0,1.0,1.0,1.0
2020-01-05,1.0,1.0,1.0,1.0
2020-01-06,1.0,1.0,1.0,1.0
2020-01-07,1.0,1.0,1.0,1.0
2020-01-08,1.0,1.0,1.0,1.0
2020-01-09,1.0,1.0,1.0,1.0
2020-01-10,1.0,1.0,1.0,1.0
2020-01-11,1.0,1.0,1.0,1.0
2020-01-12,1.0,1.0,1.0,1.0
2020-01-13,1.0,1.0,1.0,1.0
2020-01-14,1.0,1.0,1.0,1.0
2020-01-15,1.0,1.0,1.0,1.0
2020-01-16,1.0,1.0,1.0,1.0
2020-01-17,1.0,1.0,1.0,1.0
2020-01-18,1.0,1.0,1.0,1.0
2020-01-19,0.85160823124736,1.0,1.0,0.9505360770824534
2020-01-20,0.85160823124736,1.0,1.0,0.9505360770824534
2020-01-21,0.85160823124736,0.8,1.0,0.8838694104157866
2020-01-22,0.85160823124736,0.8,1.0,0.8838694104157866
2020-01-23,1.1209945084786677,0.8,1.0,0.9736648361595558
2020-01-24,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-01-25,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-01-26,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-01-27,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-01-28,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-01-29,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-01-30,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-01-31,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-01,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-02,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-03,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-04,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-05,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-06,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-07,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-08,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-09,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-10,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-11,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-12,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-13,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-14,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-15,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-16,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-17,1.1209945084786677,1.0,1.0,1.0403315028262226
2020-02-18,1.0369923360086901,1.0,1.0,1.0123307786695632
2020-02-19,1.0369923360086901,1.0,1.0,1.0123307786695632
2020-02-20,1.0369923360086901,0.8,0.4863151829443964,0.7744358396510288
2020-02-21,1.0369923360086901,0.8,0.4863151829443964,0.7744358396510288
2020-02-22,1.0369923360086901,0.8,0.4863151829443964,0.7744358396510288
2020-02-23,1.0369923360086901,0.8,0.4863151829443964,0.7744358396510288
2020-02-24,1.0369923360086901,0.8,0.4863151829443964,0.7744358396510288
2020-02-25,1.0369923360086901,0.8,0.4863151829443964,0.7744358396510288
2020-02-26,0.9529901635387124,0.8,0.4863151829443964,0.7464351154943696
2020-02-27,1.1209945084786677,0.8,0.4863151829443964,0.8024365638076881
2020-02-28,1.1209945084786677,0.8,0.4863151829443964,0.8024365638076881
2020-02-29,1.1209945084786677,0.8,0.4863151829443964,0.8024365638076881
2020-03-01,1.1209945084786677,0.8,0.4863151829443964,0.8024365638076881
2020-03-02,1.1209945084786677,0.8,0.4863151829443964,0.8024365638076881
2020-03-03,1.1209945084786677,0.8,0.4863151829443964,0.8024365638076881
2020-03-04,1.1209945084786677,1.0,0.4863151829443964,0.8691032304743547
2020-03-05,1.1209945084786677,1.0,1.2976087582829154,1.139534422253861
2020-03-06,1.1209945084786677,1.0,1.2976087582829154,1.139534422253861
2020-03-07,1.1209945084786677,1.0,1.2976087582829154,1.139534422253861
2020-03-08,1.1209945084786677,1.0,1.0083549409392105,1.0431164831392927
2020-03-09,1.1209945084786677,1.0,1.0083549409392105,1.0431164831392927
2020-03-10,1.1209945084786677,1.0,1.055027369634111,1.0586739593709262
2020-03-11,1.1209945084786677,1.0,1.055027369634111,1.0586739593709262
2020-03-12,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-13,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-14,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-15,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-16,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-17,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-18,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-19,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-20,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-21,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-22,1.1209945084786677,0.7040000000000001,0.8637280322673581,0.896240846915342
2020-03-23,1.0614326232574982,0.7040000000000001,0.8637280322673581,0.8763868851749521
2020-03-24,1.0614326232574982,0.7040000000000001,0.8637280322673581,0.8763868851749521
2020-03-25,1.0018707380363288,0.7040000000000001,0.8637280322673581,0.8565329234345623
2020-03-26,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-27,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-28,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-29,1.0018707380363288,0.8,0.8637280322673581,0.8885329234345622
2020-03-30,1.0018707380363288,0.8,0.7479112647651973,0.8499273342671754
2020-03-31,1.0018707380363288,0.8,0.7479112647651973,0.8499273342671754
2020-04-01,1.0018707380363288,1.0,0.7865168539325843,0.9294625306563044
2020-04-02,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-03,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-04,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-05,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-06,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-07,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-08,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-09,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-10,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-11,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-12,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-13,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-14,1.0018707380363288,1.0,0.8058196485162776,0.9358967955175355
2020-04-15,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-16,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-17,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-18,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-19,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-20,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-21,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-22,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-23,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-24,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-25,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-26,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-27,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-28,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-29,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-04-30,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-01,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-02,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-03,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-04,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-05,1.0018707380363288,1.0,0.7479112647651973,0.9165940009338419
2020-05-06,1.0018707380363288,0.7040000000000001,0.8637280322673581,0.8565329234345623
2020-05-07,1.0018707380363288,0.7040000000000001,0.7479112647651973,0.8179273342671755
2020-05-08,1.0018707380363288,0.7040000000000001,0.7479112647651973,0.8179273342671755
2020-05-09,1.0018707380363288,0.7040000000000001,0.7479112647651973,0.8179273342671755
2020-05-10,1.0018707380363288,0.7040000000000001,0.8058196485162776,0.8372301288508689
