date,B00074VZ9O,B00074VZAS,B0009YUFMK,B005W0O5JK,B07D7F2NYJ,B07D7J72XB,B07D7JLRY7,B07D7M6BGL,B07D7MW7YK,B07DH2T7W7,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,0.9914163090128756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991416309012877
2020-01-03,1.0,0.9914163090128756,1.0,1.0,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9920103881602887
2020-01-04,1.0,0.9914163090128756,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063159585194945
2020-01-05,1.0,0.9914163090128756,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063159585194945
2020-01-06,1.0,0.9910261412407335,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0062769417422803
2020-01-07,1.0,0.9910261412407335,1.0,0.9997845756139595,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.006212314426468
2020-01-08,1.0,0.9910261412407335,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0062769417422803
2020-01-09,1.0,0.9910261412407335,1.0,1.0010771219302024,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063415690580926
2020-01-10,1.0,0.9910261412407335,1.0,1.0010771219302024,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063415690580926
2020-01-11,0.9736472241742797,0.9910261412407335,1.0,1.0010771219302024,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0037062914755204
2020-01-12,0.9736472241742797,0.8534920015606712,1.0,0.9976303317535544,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,0.9896081984898494
2020-01-13,0.9736472241742797,0.8536870854467421,1.0,0.995260663507109,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,0.9893907400538119
2020-01-14,0.9736472241742797,0.8532969176746001,1.0,0.995260663507109,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9750892377946002
2020-01-15,0.9736472241742797,0.8532969176746001,1.0,0.995260663507109,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9750892377946002
2020-01-16,0.9736472241742797,0.8532969176746001,1.0,0.995260663507109,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9750892377946002
2020-01-17,0.9736472241742797,0.8532969176746001,1.0,0.9920292977165014,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9747661012155394
2020-01-18,0.9697821503865074,0.8532969176746001,1.0,0.9920292977165014,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9743795938367622
2020-01-19,0.9690794096978215,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9651968682383802
2020-01-20,0.9690794096978215,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9651968682383802
2020-01-21,0.9690794096978215,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9651968682383802
2020-01-22,0.9683766690091355,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9651265941695119
2020-01-23,0.9725931131412509,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9655482385827234
2020-01-24,0.9725931131412509,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9655482385827234
2020-01-25,0.9725931131412509,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9655482385827234
2020-01-26,0.9683766690091355,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9651265941695119
2020-01-27,0.9683766690091355,0.8532969176746001,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9651265941695119
2020-01-28,0.9683766690091355,0.9231369488880219,1.0,0.90090478242137,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9721105972908539
2020-01-29,0.9683766690091355,0.924307452204448,1.0,0.90090478242137,1.0,1.0,1.0,1.0,1.0,1.0,0.9793588903634953
2020-01-30,0.9683766690091355,0.924307452204448,1.0,0.90090478242137,1.0,1.0,1.0,1.0,1.0,1.0,0.9793588903634953
2020-01-31,0.9683766690091355,0.924307452204448,1.0,0.90090478242137,1.0,1.0,1.0,1.0,1.0,1.0,0.9793588903634953
2020-02-01,0.9683766690091355,0.924307452204448,1.0,0.90090478242137,1.0,1.0,1.0,1.0,1.0,1.0,0.9793588903634953
2020-02-02,0.9683766690091355,1.2461958642216153,1.0,0.90090478242137,1.0,1.0,1.0,1.0,1.0,1.0,1.0115477315652122
2020-02-03,0.9683766690091355,0.926258291065158,1.0,0.90090478242137,1.0,1.0,1.0,1.0,1.0,1.0,0.9795539742495663
2020-02-04,0.9687280393534785,0.926258291065158,1.0,0.90090478242137,1.0,1.0,1.0,1.0,1.0,1.0,0.9795891112840007
2020-02-05,0.9687280393534785,0.9352321498244245,1.0,0.90090478242137,1.0,1.1609756097560975,1.0,1.0,1.0,1.0,0.9965840581355371
2020-02-06,0.9687280393534785,0.9447912602419041,1.0,0.90090478242137,1.0,1.1609756097560975,1.0,1.0,1.0,1.0,0.997539969177285
2020-02-07,0.9687280393534785,0.9447912602419041,1.0,0.90090478242137,1.0,1.1609756097560975,1.0,1.0,1.0,1.0,0.997539969177285
2020-02-08,0.9687280393534785,0.9447912602419041,1.0,0.7710038776389486,1.0,1.1609756097560975,1.0,1.0,1.0,1.0,0.984549878699043
2020-02-09,0.9687280393534785,0.9447912602419041,1.0,0.7710038776389486,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.9800667195817374
2020-02-10,0.9687280393534785,0.9447912602419041,1.0,0.7710038776389486,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.9800667195817374
2020-02-11,0.9718903724525649,0.9447912602419041,1.0,0.7710038776389486,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.9803829528916459
2020-02-12,0.9659170765987349,0.9447912602419041,1.0,0.7710038776389486,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.979785623306263
2020-02-13,0.9659170765987349,0.9447912602419041,1.0,0.9933218440327444,1.0,1.116144018583043,1.0,1.0,1.0,1.0,1.0020174199456426
2020-02-14,0.9638088545326774,0.9447912602419041,1.0,0.8508186126669538,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.9875562746024578
2020-02-15,0.9634574841883345,0.9360124853687085,1.0,0.8508186126669538,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.9866432600807039
2020-02-16,0.9634574841883345,0.9360124853687085,1.0,0.8508186126669538,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.9866432600807039
2020-02-17,0.9472944483485594,0.9360124853687085,1.0,0.8508186126669538,1.0,1.116144018583043,1.0,1.0,1.0,1.0,0.9850269564967264
2020-02-18,0.9472944483485594,0.9360124853687085,1.0,0.8508186126669538,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9791190974181359
2020-02-19,0.8299367533380183,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9622454563100156
2020-02-20,0.7659873506676037,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9558505160429742
2020-02-21,0.7389318341531975,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9531449643915335
2020-02-22,0.7656359803232606,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9558153790085399
2020-02-23,0.7041461700632466,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9496663979825385
2020-02-24,0.7030920590302179,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9495609868792357
2020-02-25,0.7027406886858749,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9495258498448014
2020-02-26,0.7659873506676037,0.9360124853687085,1.0,0.7994398965962946,1.0,1.057065427797135,1.0,1.0,1.0,1.0,0.9558505160429742
2020-02-27,0.7659873506676037,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9608793192874782
2020-02-28,0.8404778636683065,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9683283705875482
2020-02-29,0.8566408995080814,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.969944674171526
2020-03-01,0.8555867884750528,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9698392630682229
2020-03-02,0.8478566408995081,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9690662483106685
2020-03-03,0.8478566408995081,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9690662483106685
2020-03-04,0.9026704146170064,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9745476256824184
2020-03-05,0.8703443429374562,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9713150185144634
2020-03-06,0.8703443429374562,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9713150185144634
2020-03-07,0.8703443429374562,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9713150185144634
2020-03-08,0.8703443429374562,0.9360124853687085,1.0,0.782313657906075,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9713150185144634
2020-03-09,0.8703443429374562,0.9360124853687085,1.0,0.7739121068504954,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9704748634089053
2020-03-10,0.8703443429374562,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9705071770668112
2020-03-11,0.8703443429374562,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9705071770668112
2020-03-12,0.8703443429374562,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9705071770668112
2020-03-13,0.8703443429374562,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9705071770668112
2020-03-14,0.8703443429374562,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9705071770668112
2020-03-15,0.8703443429374562,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9705071770668112
2020-03-16,0.8703443429374562,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9705071770668112
2020-03-17,1.2586085734364019,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,1.009333600116706
2020-03-18,1.2586085734364019,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,1.009333600116706
2020-03-19,1.2586085734364019,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,1.009333600116706
2020-03-20,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,1.0092281890134032
2020-03-21,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,1.0092281890134032
2020-03-22,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.2120789779326366,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,1.0092281890134032
2020-03-23,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9951515339611383
2020-03-24,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9951515339611383
2020-03-25,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9951515339611383
2020-03-26,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9951515339611383
2020-03-27,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9951515339611383
2020-03-28,1.257554462403373,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9951515339611383
2020-03-29,0.8661278988053408,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9560088776013351
2020-03-30,0.8661278988053408,0.9360124853687085,1.0,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9560088776013351
2020-03-31,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9411092586913522
2020-04-01,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9411092586913522
2020-04-02,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9411092586913522
2020-04-03,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9411092586913522
2020-04-04,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9411092586913522
2020-04-05,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7742352434295562,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9411092586913522
2020-04-06,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7735889702714347,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9410446313755403
2020-04-07,0.8654251581166549,0.9360124853687085,0.8517065515888584,0.7735889702714347,0.9020021074815596,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9410446313755403
2020-04-08,0.8654251581166549,0.9360124853687085,0.9219301686936054,0.7735889702714347,0.9673340358271865,1.0713124274099883,1.0034662045060658,1.0034662045060658,1.0034662045060658,1.0,0.9546001859205777
2020-04-09,0.8654251581166549,1.0944206008583692,1.0706159278148293,0.7735889702714347,0.9673340358271865,1.0713124274099883,0.9965337954939342,0.9965337954939342,0.9965337954939342,1.0,0.9832298506780266
2020-04-10,0.8654251581166549,1.0944206008583692,1.0706159278148293,0.7735889702714347,0.9673340358271865,1.0713124274099883,0.9965337954939342,0.9965337954939342,0.9965337954939342,1.0,0.9832298506780266
2020-04-11,0.8654251581166549,1.0944206008583692,1.0706159278148293,0.7735889702714347,0.9673340358271865,1.0713124274099883,0.9965337954939342,0.9965337954939342,0.9965337954939342,1.0,0.9832298506780266
2020-04-12,0.8654251581166549,1.0944206008583692,1.0706159278148293,0.7735889702714347,0.9673340358271865,1.0713124274099883,0.9965337954939342,0.9965337954939342,0.9965337954939342,1.0,0.9832298506780266
2020-04-13,0.8654251581166549,1.0944206008583692,1.0706159278148293,0.7735889702714347,0.9673340358271865,1.0713124274099883,0.9965337954939342,0.9965337954939342,0.9965337954939342,1.0,0.9832298506780266
2020-04-14,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7735889702714347,0.9673340358271865,1.0713124274099883,0.9965337954939342,0.9965337954939342,0.9965337954939342,1.0,0.9739438577010464
2020-04-15,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7735889702714347,0.9473129610115911,1.0713124274099883,0.9861351819757367,0.9965337954939342,0.9965337954939342,1.0,0.9709018888676673
2020-04-16,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7735889702714347,0.9473129610115911,1.1609756097560975,0.9861351819757367,0.9861351819757367,0.9861351819757367,1.0,0.9777884843986386
2020-04-17,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7735889702714347,0.9473129610115911,1.1609756097560975,0.9861351819757367,0.9861351819757367,0.9861351819757367,0.9263759828448892,0.9704260826831277
2020-04-18,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7735889702714347,0.9473129610115911,1.1609756097560975,0.9861351819757367,0.9861351819757367,0.9861351819757367,0.9263759828448892,0.9704260826831277
2020-04-19,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7722964239551916,0.9473129610115911,1.1609756097560975,0.9861351819757367,0.9861351819757367,0.9861351819757367,0.9263759828448892,0.9702968280515034
2020-04-20,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7722964239551916,0.9473129610115911,1.1609756097560975,0.9861351819757367,0.9861351819757367,0.9861351819757367,0.8577555396711937,0.9634347837341337
2020-04-21,0.8654251581166549,1.0015606710885683,1.0706159278148293,0.7722964239551916,0.9473129610115911,1.1609756097560975,0.9861351819757367,0.9861351819757367,0.9861351819757367,0.9027877055039314,0.9679380003174074
2020-04-22,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9473129610115911,1.1609756097560975,0.9861351819757367,0.9861351819757367,0.9861351819757367,0.9027877055039314,0.9847152145195144
2020-04-23,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9357218124341412,1.1609756097560975,0.9844020797227037,0.9844020797227037,0.9844020797227037,0.9027877055039314,0.9830361689858593
2020-04-24,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.8970271434726411,0.9357218124341412,1.1609756097560975,0.9844020797227037,0.9844020797227037,0.9844020797227037,0.9027877055039314,0.9955092409376045
2020-04-25,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.8970271434726411,0.9357218124341412,1.1609756097560975,0.9844020797227037,0.9844020797227037,0.9844020797227037,0.8802716225875625,0.9932576326459677
2020-04-26,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9357218124341412,1.1609756097560975,0.9844020797227037,0.9844020797227037,0.9844020797227037,0.8802716225875625,0.9807845606942225
2020-04-27,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9357218124341412,1.1609756097560975,0.9844020797227037,0.9844020797227037,0.9844020797227037,0.8802716225875625,0.9807845606942225
2020-04-28,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9357218124341412,1.1609756097560975,0.9844020797227037,0.9844020797227037,0.9844020797227037,0.8802716225875625,0.9807845606942225
2020-04-29,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.0713124274099883,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.9788297276862389
2020-04-30,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.1609756097560975,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.98779604592085
2020-05-01,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.1609756097560975,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.98779604592085
2020-05-02,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.1609756097560975,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.98779604592085
2020-05-03,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.1609756097560975,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.98779604592085
2020-05-04,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.1609756097560975,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.98779604592085
2020-05-05,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.1609756097560975,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.98779604592085
2020-05-06,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,0.9694415173867228,1.1609756097560975,0.9965337954939342,0.9965337954939342,0.9965337954939342,0.8802716225875625,0.98779604592085
2020-05-07,0.8654251581166549,1.1693328131096372,1.0706159278148293,0.7722964239551916,1.0189673340358272,1.2176538908246226,1.0381282495667246,1.0381282495667246,1.0381282495667246,0.8802716225875625,1.01089479191445
